league_code,team,city,iso2
B1,Kortrijk,Kortrijk,BE
B1,Lommel SK,Lommel,BE
B1,Mechelen,Mechelen,BE
B1,Oud-Heverlee Leuven,Leuven,BE
B1,St Truiden,Sint-Truiden,BE
B1,Standard,Liège,BE
B1,Westerlo,Westerlo,BE
B1,Waregem,Waregem,BE
P1,Academico Viseu,Viseu,PT
P1,Alverca,Alverca do Ribatejo,PT
P1,Arouca,Arouca,PT
P1,Benfica,Lisbon,PT
P1,Sp Braga,Braga,PT
P1,Casa Pia,Lisbon,PT
P1,Estoril,Estoril,PT
P1,Estrela,Amadora,PT
P1,Famalicao,Vila Nova de Famalicão,PT
P1,Gil Vicente,Barcelos,PT
P1,Maritimo,Funchal,PT
P1,Moreirense,Guimarães,PT
P1,Nacional,Funchal,PT
P1,Porto,Porto,PT
P1,Rio Ave,Vila do Conde,PT
P1,Santa Clara,Ponta Delgada,PT
P1,Guimaraes,Guimarães,PT
T1,Alanyaspor,Alanya,TR
T1,Amedspor,Diyarbakır,TR
T1,Corum,Çorum,TR
T1,Erzurumspor,Erzurum,TR
T1,Eyupspor,Istanbul,TR
T1,Fenerbahce,Istanbul,TR
T1,Galatasaray,Istanbul,TR
T1,Gaziantep,Gaziantep,TR
T1,Genclerbirligi,Ankara,TR
T1,Kocaelispor,İzmit,TR
T1,Konyaspor,Konya,TR
T1,Rizespor,Rize,TR
T1,Samsunspor,Samsun,TR
T1,Trabzonspor,Trabzon,TR
G1,AEK,Athens,GR
G1,Kifisia,Athens,GR
G1,Aris,Thessaloniki,GR
G1,Asteras Tripolis,Tripoli,GR
G1,Atromitos,Athens,GR
G1,Iraklis,Thessaloniki,GR
G1,Kalamata,Kalamata,GR
G1,Levadeiakos,Livadeia,GR
G1,OFI,Heraklion,GR
G1,Olympiakos,Piraeus,GR
G1,Panathinaikos,Athens,GR
G1,Panetolikos,Agrinio,GR
G1,PAOK,Thessaloniki,GR
G1,Niki Volos,Volos,GR
ARG,Aldosivi,Mar del Plata,AR
ARG,Argentinos Jrs,Buenos Aires,AR
ARG,Banfield,Banfield,AR
ARG,Barracas Central,Buenos Aires,AR
ARG,Belgrano,Córdoba,AR
ARG,Boca Juniors,Buenos Aires,AR
ARG,Central Cordoba,Santiago del Estero,AR
ARG,Defensa y Justicia,Florencio Varela,AR
ARG,Estudiantes L.P.,La Plata,AR
ARG,Huracan,Buenos Aires,AR
ARG,Independiente,Avellaneda,AR
ARG,Instituto,Córdoba,AR
ARG,Lanus,Lanús,AR
ARG,Newells Old Boys,Rosario,AR
ARG,Platense,Florida Este,AR
ARG,Racing Club,Avellaneda,AR
ARG,River Plate,Buenos Aires,AR
ARG,Rosario Central,Rosario,AR
ARG,San Lorenzo,Buenos Aires,AR
ARG,Sarmiento Junin,Junín,AR
ARG,Talleres Cordoba,Córdoba,AR
ARG,Tigre,Victoria,AR
ARG,Velez Sarsfield,Buenos Aires,AR
AUT,A. Lustenau,Lustenau,AT
AUT,Austria Vienna,Vienna,AT
AUT,Grazer AK,Graz,AT
AUT,LASK,Linz,AT
AUT,SK Rapid,Vienna,AT
AUT,Salzburg,Wals-Siezenheim,AT
AUT,Altach,Altach,AT
AUT,Ried,Ried im Innkreis,AT
AUT,Sturm Graz,Graz,AT
AUT,Hartberg,Hartberg,AT
AUT,Wolfsberger AC,Wolfsberg,AT
AUT,Tirol,Innsbruck,AT
BRA,Parana,Curitiba,BR
BRA,Bahia,Salvador,BR
BRA,Botafogo RJ,Rio de Janeiro,BR
BRA,Chapecoense-SC,Chapecó,BR
BRA,Corinthians,São Paulo,BR
BRA,Coritiba,Curitiba,BR
BRA,Cruzeiro,Belo Horizonte,BR
BRA,Flamengo RJ,Rio de Janeiro,BR
BRA,Fluminense,Rio de Janeiro,BR
BRA,Gremio,Porto Alegre,BR
BRA,Internacional,Porto Alegre,BR
BRA,Mirassol,Mirassol,BR
BRA,Palmeiras,São Paulo,BR
BRA,Bragantino,Bragança Paulista,BR
BRA,Remo,Belém,BR
BRA,Santos,Santos,BR
BRA,Sao Paulo,São Paulo,BR
BRA,Vasco,Rio de Janeiro,BR
BRA,Vitoria,Salvador,BR
CHN,Shanghai Port,Shanghai,CN
CHN,Shanghai Shenhua,Shanghai,CN
CHN,Chengdu Rongcheng,Chengdu,CN
CHN,Beijing Guoan,Beijing,CN
CHN,Shandong Taishan,Jinan,CN
CHN,Tianjin Jinmen Tiger,Tianjin,CN
CHN,Zhejiang Greentown,Hangzhou,CN
CHN,Yunnan Yukun,Yuxi,CN
CHN,Qingdao West Coast,Qingdao,CN
CHN,Henan Songshan Longmen,Zhengzhou,CN
CHN,Dalian Yingbo,Dalian,CN
CHN,Shenzhen,Shenzhen,CN
CHN,Wuhan Three Towns,Wuhan,CN
CHN,Qingdao Hainiu,Qingdao,CN
CHN,Liaoning Tieren,Shenyang,CN
CHN,Chongqing Tonglianglong,Chongqing,CN
DNK,Brondby,Brøndby,DK
DNK,FC Copenhagen,Copenhagen,DK
DNK,Horsens,Horsens,DK
DNK,Lyngby,Kongens Lyngby,DK
DNK,Midtjylland,Herning,DK
DNK,Nordsjaelland,Farum,DK
DNK,Randers FC,Randers,DK
DNK,Silkeborg,Silkeborg,DK
DNK,Sonderjyske,Haderslev,DK
DNK,Viborg,Viborg,DK
FIN,AC Oulu,Oulu,FI
FIN,Lahti,Lahti,FI
FIN,Jaro,Jakobstad,FI
FIN,HJK,Helsinki,FI
FIN,Gnistan,Helsinki,FI
FIN,Mariehamn,Mariehamn,FI
FIN,Ilves,Tampere,FI
FIN,KuPS,Kuopio,FI
FIN,SJK,Seinäjoki,FI
FIN,TPS,Turku,FI
FIN,VPS,Vaasa,FI
MEX,Atlante,Mexico City,MX
MEX,Atlas,Guadalajara,MX
MEX,Atl. San Luis,San Luis Potosí,MX
MEX,Cruz Azul,Mexico City,MX
MEX,Guadalajara Chivas,Zapopan,MX
MEX,Juarez,Ciudad Juárez,MX
MEX,Monterrey,Guadalupe,MX
MEX,Necaxa,Aguascalientes,MX
MEX,Pachuca,Pachuca,MX
MEX,Puebla,Puebla,MX
MEX,UNAM Pumas,Mexico City,MX
MEX,Queretaro,Querétaro,MX
MEX,Santos Laguna,Torreón,MX
MEX,Tigres UANL,San Nicolás de los Garza,MX
MEX,Club Tijuana,Tijuana,MX
MEX,Toluca,Toluca,MX
NOR,Aalesund,Ålesund,NO
NOR,Bodo/Glimt,Bodø,NO
NOR,Brann,Bergen,NO
NOR,Fredrikstad,Fredrikstad,NO
NOR,HamKam,Hamar,NO
NOR,KFUM Oslo,Oslo,NO
