league_code,wiki_team,matched_raw_team,city,match_score
BRA,Atlético Mineiro,Cruzeiro,Belo Horizonte,60.00000000000001
BRA,Bahia,Bahia,Salvador,100.0
BRA,Botafogo,Botafogo RJ,Rio de Janeiro,95.0
BRA,Chapecoense,Chapecoense-SC,Chapecó,88.0
BRA,Corinthians,Corinthians,São Paulo,100.0
BRA,Coritiba,Coritiba,Curitiba,100.0
BRA,Cruzeiro,Cruzeiro,Belo Horizonte,100.0
BRA,Flamengo,Flamengo RJ,Rio de Janeiro,95.0
BRA,Fluminense,Fluminense,Rio de Janeiro,100.0
BRA,Grêmio,Gremio,Porto Alegre,83.33333333333334
BRA,Internacional,Internacional,Porto Alegre,100.0
BRA,Mirassol,Mirassol,Mirassol,100.0
BRA,Palmeiras,Palmeiras,São Paulo,100.0
BRA,Red Bull Bragantino,Bragantino,Bragança Paulista,90.0
BRA,Remo,Remo,Belém,100.0
BRA,Santos,Santos,Santos,100.0
BRA,São Paulo,Sao Paulo,São Paulo,88.88888888888889
BRA,Vasco da Gama,Vasco,Rio de Janeiro,90.0
BRA,Vitória,Vitoria,Salvador,85.71428571428572
CHN,Shanghai Port,Shanghai Port,Shanghai,100.0
CHN,Shanghai Shenhua,Shanghai Shenhua,Shanghai,100.0
CHN,Chengdu Rongcheng,Chengdu Rongcheng,Chengdu,100.0
CHN,Beijing Guoan,Beijing Guoan,Beijing,100.0
CHN,Shandong Taishan,Shandong Taishan,Jinan,100.0
CHN,Tianjin Jinmen Tiger,Tianjin Jinmen Tiger,Tianjin,100.0
CHN,Tianjin Jinmen Tiger,Tianjin Jinmen Tiger,Tianjin,100.0
CHN,Zhejiang,Zhejiang Greentown,Hangzhou,90.0
CHN,Yunnan Yukun,Yunnan Yukun,Yuxi,100.0
CHN,Qingdao West Coast,Qingdao West Coast,Qingdao,100.0
CHN,Henan,Henan Songshan Longmen,Zhengzhou,90.0
CHN,Dalian Yingbo,Dalian Yingbo,Dalian,100.0
CHN,Shenzhen Peng City,Shenzhen,Shenzhen,90.0
CHN,Wuhan Three Towns,Wuhan Three Towns,Wuhan,100.0
CHN,Qingdao Hainiu,Qingdao Hainiu,Qingdao,100.0
CHN,Liaoning Tieren P,Liaoning Tieren,Shenyang,95.0
CHN,Chongqing Tonglianglong P,Chongqing Tonglianglong,Chongqing,95.83333333333334
CHN,Chongqing Tonglianglong P,Chongqing Tonglianglong,Chongqing,95.83333333333334
DNK,AGF,Fredericia,Aarhus,45.0
DNK,Brøndby,Brondby,Brøndby,85.71428571428572
DNK,Copenhagen,FC Copenhagen,Copenhagen,95.0
DNK,Horsens,Horsens,Horsens,100.0
DNK,Lyngby,Lyngby,Kongens Lyngby,100.0
DNK,Midtjylland,Midtjylland,Herning,100.0
DNK,Nordsjælland,Nordsjaelland,Farum,88.0
DNK,OB,Odense,Odense,60.00000000000001
DNK,Randers,Randers FC,Randers,95.0
DNK,Silkeborg,Silkeborg,Silkeborg,100.0
DNK,Sønderjyske,Sonderjyske,Haderslev,90.9090909090909
DNK,Viborg,Viborg,Viborg,100.0
FIN,AC Oulu,AC Oulu,Oulu,100.0
FIN,FC Inter,Inter Turku,Turku,73.07692307692307
FIN,FC Lahti,Lahti,Lahti,90.0
FIN,FF Jaro,Jaro,Jakobstad,90.0
FIN,HJK,HJK,"Töölö, Helsinki",100.0
FIN,IF Gnistan,Gnistan,"Oulunkylä, Helsinki",95.0
FIN,IFK Mariehamn,Mariehamn,Mariehamn,95.0
FIN,Ilves,Ilves,Tampere,100.0
FIN,KuPS,KuPS,Kuopio,100.0
FIN,SJK,SJK,Seinäjoki,100.0
FIN,TPS,TPS,Turku,100.0
FIN,VPS,VPS,Vaasa,100.0
MEX,América,Club America,Mexico City,77.14285714285715
MEX,Atlante,Atlante,Mexico City,100.0
MEX,Atlas,Atlas,"Guadalajara, Jalisco",100.0
MEX,Atlético San Luis,Atl. San Luis,"San Luis Potosí, San Luis Potosí",80.0
MEX,Cruz Azul,Cruz Azul,Mexico City,100.0
MEX,Guadalajara,Guadalajara Chivas,"Zapopan, Jalisco",90.0
MEX,Juárez,Juarez,"Ciudad Juárez, Chihuahua",83.33333333333334
MEX,León,Club Leon,"León, Guanajuato",67.5
