league_code,your_name,lat,lon,matched_display
D1,Elversberg,49.31539,7.1268184,"Elversberg, Spiesen-Elversberg, Landkreis Neunkirchen, Saarland, 66583, Deutschland"
I1,Bari,40.8188251,16.4272374,"ASD Football Club Gravina, Via Emilio Guida, Gravina in Puglia, Bari, Puglia, 70024, Italia"
I1,Atalanta,-27.421916,-49.778863,"Atalanta, Santa Catarina, Região Sul, Brasil"
I1,Milan,45.5027522,9.253237,"Football Club Enotria 1908, Via Carlo Cazzaniga, Parco Lambro - Cimiano, Municipio 3, Milano, Rodano, Milano, Lombardia, 20132, Italia"
I1,Parma,29.1100812,79.5225267,"ACHIEVERS FOOTBALL CLUB, NH109, Bametabangar Keshavdatt, Lalkuan, Nainital, Uttarakhand, India"
I1,Reggina,-34.602341,-58.4302665,"Reggina, 4602, Avenida Corrientes, Almagro, Buenos Aires, Comuna 5, Ciudad Autónoma de Buenos Aires, C1195AAF, Argentina"
I1,Roma,45.4094973,10.9924054,"Borgo Primo Maggio Football Club, Via Comacchio, Borgo Roma, Sud, Palazzina, Verona, Veneto, 37134, Italia"
I1,Juventus,45.1116457,7.6343744,"Juventus Football Club, 175, Via Druento, Continassa, Vallette, Circoscrizione 5, Torino, Piemonte, 10151, Italia"
I1,Lecce,40.1522173,18.2260628,"Lecce, Puglia, Italia"
I1,Vicenza,45.6348591,11.4063543,"Vicenza, Veneto, Italia"
I1,Torino,45.1116457,7.6343744,"Juventus Football Club, 175, Via Druento, Continassa, Vallette, Circoscrizione 5, Torino, Piemonte, 10151, Italia"
I1,Como,-34.0058109,151.0824939,"Georges River Junior Soccer Football Club, Como Road, Caravan Head, Oyster Bay, Sutherland Shire, Sydney, New South Wales, 2225, Australia"
I1,Modena,44.5384728,10.9359609,"Modena, Emilia-Romagna, Italia"
I1,Ancona,43.4801189,13.2187279,"Ancona, Marche, Italia"
I1,Sampdoria,47.2163126,27.8062424,"Sampdoria S.R.L., Centru, Ungheni, Raionul Ungheni, Moldova"
I1,Siena,43.1672059,11.467561,"Siena, Toscana, Italia"
I1,Cagliari,39.2171994,9.113311,"Casteddu/Cagliari, Sardigna/Sardegna, Italia"
I1,Messina,38.1937571,15.5542082,"Messina, Sicilia, Italia"
I1,Ascoli,42.8834204,13.539593,"Ascoli Piceno, Marche, Italia"
I1,Treviso,45.8066913,12.2063158,"Treviso, Veneto, Italia"
I1,Genoa,44.4270052,8.8239614,"Genoa Cricket and Football Club S.p.A., 67, Via Ronchi, Cialli, Multedo, Ponente, Genova, Liguria, 16155, Italia"
I1,Pescara,42.3097631,13.9579989,"Pescara, Abruzzo, Italia"
I1,Frosinone,41.6285468,13.5758498,"Frosinone, Lazio, Italia"
I1,Carpi,44.7835699,10.8854523,"Carpi, Unione delle Terre d'Argine, Modena, Emilia-Romagna, Italia"
I1,Spal,39.5753601,-9.0015535,"SPAL, Valado dos Frades, Nazaré, Leiria, Portugal"
I1,Spezia,45.0381342,7.6694941,"Spezia, Via Nizza, Molinette, Nizza Millefonti, Circoscrizione 8, Cavoretto, Torino, Piemonte, 10126, Italia"
I1,Salernitana,52.3783911,4.8133248,"Salernitana, Van Moerkerkenstraat, Slotermeer, Nieuw-West, Amsterdam, Noord-Holland, Nederland, 1064 VH, Nederland"
T1,Kocaelispor,40.7682319,30.0152556,"Kocaelispor, Bağımsızlık Caddesi, Stadyum, Alikahya Atatürk Mahallesi, Kocaeli, İzmit, Kocaeli, Marmara Bölgesi, 41310, Türkiye"
T1,Genclerbirligi,39.9746817,32.815788,"Gençlerbirliği, 159 Caddesi, Kardeşler, Ayvalı Mahallesi, Keçiören, Ankara, İç Anadolu Bölgesi, 06010, Türkiye"
T1,Denizlispor,37.8157177,29.0579691,"Denizlispor Haluk Ulusoy Tesisleri İç Yolu, Akçeşme Mahallesi, Merkezefendi, Denizli, Ege Bölgesi, 20085, Türkiye"
T1,Siirt Jet-PA,,,
T1,Ankaragucu,39.9815285,32.6132533,"Devlet Mahallesi/1910 Ankaragücü, Gençlerbirliği Sokağı, Devlet Mahallesi, Etimesgut, Ankara, İç Anadolu Bölgesi, 06824, Türkiye"
T1,Yozgatspor,,,
T1,Gaziantepspor,,,
T1,Trabzonspor,40.895672,29.166289,"Trabzonspor, Turgut Özal Bulvarı, Kordonboyu Mahallesi, Kartal, İstanbul, Marmara Bölgesi, 34860, Türkiye"
T1,Adanaspor,,,
T1,Goztep,,,
T1,Diyarbakirspor,,,
T1,Elazigspor,,,
T1,Altay,,,
T1,A. Sebatspor,,,
T1,Kayserispor,,,
T1,Ankaraspor,,,
T1,Sivasspor,,,
T1,Sakaryaspor,,,
T1,Eskisehirspor,,,
T1,Bucaspor,,,
T1,Orduspor,,,
T1,Mersin Idman Yurdu,,,
T1,Akhisar Belediyespor,,,
T1,Balikesirspor,,,
T1,Karagumruk,,,
T1,Hatayspor,,,
T1,Ad. Demirspor,,,
T1,Bodrumspor,,,
T1,Eyupspor,,,
T1,Amedspor,,,
T1,Corum,,,
E0,Coventry,,,
E0,Derby,,,
E0,Leeds,,,
E0,Liverpool,,,
E0,Tottenham,,,
E0,Man United,,,
E0,Arsenal,,,
E0,Bradford,,,
E0,Southampton,,,
E0,West Ham,,,
E0,Aston Villa,,,
E0,Blackburn,,,
E0,Fulham,,,
E0,West Brom,,,
