league_code,HomeTeam,n
E0,Liverpool,496
E0,Luton,19
E0,Man City,477
E0,Man United,496
E0,Middlesbrough,190
E0,Newcastle,458
E0,Norwich,133
E0,Nott'm Forest,78
E0,Portsmouth,133
E0,QPR,57
E0,Reading,57
E0,Sheffield United,76
E0,Southampton,323
E0,Stoke,190
E0,Sunderland,287
E0,Swansea,133
E0,Tottenham,496
E0,Watford,133
E0,West Brom,247
E0,West Ham,437
E0,Wigan,152
E0,Wolves,228
F1,Ajaccio,123
F1,Ajaccio GFCO,19
F1,Amiens,52
F1,Angers,184
F1,Arles,19
F1,Auxerre,251
F1,Bastia,158
F1,Bordeaux,382
F1,Boulogne,19
F1,Brest,181
F1,Caen,172
F1,Clermont,55
F1,Dijon,109
F1,Evian Thonon Gaillard,76
F1,Grenoble,38
F1,Guingamp,175
F1,Le Havre,92
F1,Le Mans,106
F1,Lens,285
F1,Lille,454
F1,Lorient,319
F1,Lyon,452
F1,Marseille,452
F1,Metz,225
F1,Monaco,412
F1,Montpellier,340
F1,Nancy,171
F1,Nantes,355
F1,Nice,417
F1,Nimes,52
F1,Paris FC,19
F1,Paris SG,450
F1,Reims,200
F1,Rennes,454
F1,Sedan,72
F1,Sochaux,217
F1,St Etienne,353
F1,Strasbourg,243
F1,Toulouse,379
F1,Troyes,188
F1,Valenciennes,152
G1,AEK,304
G1,Akratitos,15
G1,Apollon,80
G1,Aris,260
G1,Asteras Tripolis,307
G1,Athens Kallithea,17
G1,Atromitos,319
G1,Doxa Dramas,15
G1,Egaleo,30
G1,Ergotelis,124
G1,Giannina,206
G1,Ionikos,62
G1,Iraklis,121
G1,Kalamaria,45
G1,Kalamata,2
G1,Kallithea,15
G1,Kallonis,49
G1,Kavala,30
G1,Kerkyra,107
G1,Kifisia,36
G1,Lamia,131
G1,Larisa,186
G1,Levadeiakos,235
G1,Niki Volos,17
G1,OFI,124
G1,OFI Crete,134
G1,Olympiakos,338
G1,Olympiakos Volou,15
G1,PAOK,338
G1,Panathinaikos,339
G1,Panetolikos,228
G1,Panionios,230
G1,Panserraikos,83
G1,Panthrakikos,94
G1,Platanias,94
G1,Thrasyvoulos,15
G1,Veria,94
G1,Volos NFC,120
G1,Xanthi,230
I1,Ancona,12
I1,Ascoli,38
I1,Atalanta,428
I1,Bari,55
I1,Benevento,38
I1,Bologna,401
I1,Brescia,112
I1,Cagliari,380
I1,Carpi,19
I1,Catania,152
I1,Cesena,57
I1,Chievo,303
I1,Como,53
I1,Cremonese,38
I1,Crotone,57
I1,Empoli,233
I1,Fiorentina,451
I1,Frosinone,59
I1,Genoa,345
I1,Inter,476
I1,Juventus,456
I1,Lazio,475
I1,Lecce,232
I1,Livorno,110
I1,Messina,54
I1,Milan,473
I1,Modena,23
I1,Monza,58
I1,Napoli,380
I1,Novara,19
I1,Palermo,225
I1,Parma,341
I1,Perugia,60
I1,Pescara,38
I1,Piacenza,30
I1,Pisa,19
I1,Reggina,131
I1,Roma,475
I1,Salernitana,57
I1,Sampdoria,349
I1,Sassuolo,230
I1,Siena,161
I1,Spal,57
I1,Spezia,57
I1,Torino,355
I1,Treviso,19
I1,Udinese,476
I1,Venezia,57
I1,Verona,243
I1,Vicenza,17
N1,AZ Alkmaar,422
N1,Ajax,421
N1,Ajax ,1
N1,Almere City,34
N1,Cambuur,89
N1,Den Bosch,33
N1,Den Haag,267
N1,Dordrecht,17
N1,Excelsior,224
N1,FC Emmen,64
N1,Feyenoord,421
N1,Feyenoord ,1
N1,For Sittard,169
N1,Go Ahead Eagles,139
N1,Graafschap,166
N1,Graafschap ,1
N1,Groningen,404
N1,Groningen ,1
N1,Heerenveen,424
N1,Heracles,335
N1,Heracles ,1
N1,NAC Breda,304
N1,Nijmegen,340
N1,PSV Eindhoven,421
N1,Roda,118
N1,Roda ,1
N1,Roda JC,152
N1,Roosendaal,67
N1,Sparta,119
N1,Sparta Rotterdam,152
N1,Telstar,20
N1,Twente,405
N1,Utrecht,420
N1,Utrecht ,1
N1,VVV Venlo,149
N1,Vitesse,383
N1,Vitesse ,1
N1,Volendam,69
