league_code,Home,n
POL,GKS Katowice,36
POL,Gornik Z.,170
POL,Gornik Zabrze,59
POL,Jagiellonia,249
POL,Korona Kielce,216
POL,LKS Lodz,35
POL,Lech Poznan,250
POL,Lechia Gdansk,226
POL,Leczna,71
POL,Legia,252
POL,Legnica,36
POL,Motor Lublin,38
POL,Piast Gliwice,249
POL,Podbeskidzie,86
POL,Pogon Szczecin,249
POL,Polonia Warszawa,15
POL,Puszcza,34
POL,Radomiak Radom,90
POL,Rakow,123
POL,Ruch,88
POL,Ruch Chorzow,17
POL,Sandecja Nowy S.,18
POL,Slask Wroclaw,233
POL,Stal Mielec,83
POL,Termalica B-B.,88
POL,Warta Poznan,66
POL,Widzew Lodz,105
POL,Wieczysta Krakow,2
POL,Wisla,179
POL,Wisla Plock,144
POL,Zaglebie,230
POL,Zaglebie Sosnowiec,18
POL,Zawisza,36
ROU,Academica Clinceni,59
ROU,Astra,160
ROU,Bistrita,17
ROU,CFR Cluj,267
ROU,CS Turnu Severin,17
ROU,Calarasi,22
ROU,Ceahlaul,51
ROU,Chindia Targoviste,83
ROU,Concordia,132
ROU,Corona Brasov,17
ROU,Corvinul,5
ROU,Csikszereda M. Ciuc,24
ROU,Daco-Getica Bucuresti,20
ROU,Din. Bucuresti,239
ROU,Dinamo Bucuresti,11
ROU,FC Arges,85
ROU,FC Botosani,255
ROU,FC Brasov,51
ROU,FC Hermannstadt,139
ROU,FC Rapid Bucuresti,140
ROU,FC Voluntari,187
ROU,FCSB,266
ROU,Farul Constanta,105
ROU,Gaz Metan Medias,168
ROU,Gloria Buzau,20
ROU,Metaloglobus Bucharest,19
ROU,Mioveni,41
ROU,Navodari,17
ROU,Otelul,116
ROU,Pandurii,89
ROU,Petrolul,154
ROU,Poli Iasi,189
ROU,Poli Timisoara,78
ROU,Sepsi Sf. Gheorghe,161
ROU,Targu Mures,55
ROU,U Craiova,120
ROU,U Craiova 1948,59
ROU,U. Cluj,138
ROU,UTA Arad,127
ROU,Unirea Slobozia,38
ROU,Univ. Craiova,116
ROU,Vaslui,34
ROU,Viitorul Constanta,162
RUS,Akhmat Grozny,211
RUS,Akron Togliatti,33
RUS,Amkar,91
RUS,Arsenal Tula,107
RUS,Baltika,31
RUS,CSKA Moscow,212
RUS,Dynamo Makhachkala,31
RUS,Dynamo Moscow,196
RUS,FK Anzi Makhackala,92
RUS,FK Rostov,212
RUS,Fakel Voronezh,47
RUS,Khimki,61
RUS,Krasnodar,211
RUS,Krylya Sovetov,168
RUS,Kuban,61
RUS,Lokomotiv Moscow,211
RUS,M. Saransk,45
RUS,Orenburg,109
RUS,Pari NN,78
RUS,R. Volgograd,15
RUS,Rodina Moscow,2
RUS,Rubin Kazan,196
RUS,SKA Khabarovsk,18
RUS,Sochi,90
RUS,Spartak Moscow,211
RUS,Spartak Nalchik,1
RUS,T. Moscow,16
RUS,Tambov,31
RUS,Tomsk,34
RUS,Torpedo Moscow,15
RUS,Tosno,16
RUS,Ufa,123
RUS,Ural,167
RUS,Vladikavkaz,15
RUS,Volga N. Novgorod,30
RUS,Volgar-Astrakhan,1
RUS,Yenisey,18
RUS,Zenit,210
SWE,AFC Eskilstuna,31
SWE,AIK,219
SWE,Atvidabergs,60
SWE,Brage,1
SWE,Brommapojkarna,101
SWE,Dalkurd,15
SWE,Degerfors,70
SWE,Djurgarden,221
SWE,Elfsborg,221
SWE,Falkenbergs,76
SWE,GAIS,56
SWE,Gefle,76
SWE,Goteborg,221
SWE,Hacken,221
SWE,Halmstad,134
SWE,Hammarby,176
SWE,Helsingborg,122
SWE,Jonkopings,32
SWE,Kalmar,207
SWE,Landskrona,1
SWE,Ljungskile,1
SWE,Malmo FF,221
SWE,Mjallby,145
SWE,Norrkoping,210
SWE,Orebro,135
SWE,Orgryte,10
SWE,Oster,16
SWE,Osters,15
SWE,Ostersunds,90
SWE,Sirius,147
SWE,Sundsvall,107
SWE,Syrianska,30
SWE,Trelleborgs,16
SWE,Varberg,61
SWE,Varnamo,61
SWE,Vasteras SK,25
SWZ,Aarau,37
SWZ,Basel,259
SWZ,Grasshoppers,223
SWZ,Lausanne,170
SWZ,Lausanne Ouchy,20
SWZ,Lugano,205
SWZ,Luzern,260
SWZ,Servette,151
SWZ,Sion,242
SWZ,St. Gallen,258
SWZ,Thun,169
SWZ,Vaduz,76
SWZ,Winterthur,75
SWZ,Xamax,37
SWZ,Young Boys,259
SWZ,Yverdon,38
SWZ,Zurich,241
USA,Atlanta Utd,170
USA,Austin FC,100
USA,CF Montreal,253
USA,Charlotte,84
USA,Chicago Fire,249
USA,Chivas USA,51
USA,Colorado Rapids,244
USA,Columbus Crew,262
USA,DC United,253
USA,FC Cincinnati,133
USA,FC Dallas,253
USA,Houston Dynamo,255
USA,Inter Miami,113
USA,Los Angeles FC,158
USA,Los Angeles Galaxy,262
USA,Minnesota United,162
USA,Nashville SC,112
USA,New England Revolution,248
USA,New York City,205
USA,New York Red Bulls,258
USA,Orlando City,205
USA,Philadelphia Union,257
USA,Portland Timbers,262
USA,Real Salt Lake,254
USA,San Diego FC,35
USA,San Jose Earthquakes,247
USA,Seattle Sounders,271
USA,Sporting Kansas City,257
USA,St. Louis City,64
USA,Toronto FC,257
USA,Vancouver Whitecaps,254
